request_id,status_after_project_leader_review,professional_evidence_required,permit_ready
REQ-102,CONCEPT_ACCEPTED_PROFESSIONAL_EVIDENCE_PENDING,True,False
REQ-103,CONCEPT_ACCEPTED_PROFESSIONAL_EVIDENCE_PENDING,True,False
REQ-104,CONCEPT_ACCEPTED_PROFESSIONAL_EVIDENCE_PENDING,True,False
REQ-105,CONCEPT_ACCEPTED_PROFESSIONAL_EVIDENCE_PENDING,True,False
REQ-106,CONCEPT_ACCEPTED_PROFESSIONAL_EVIDENCE_PENDING,True,False
REQ-107,CLOSED_PROJECT_LEADER_APPROVED,False,False
REQ-108,CONCEPT_ACCEPTED_PROFESSIONAL_EVIDENCE_PENDING,True,False
