report_id,title,status,pdf,docx
R-001,Integrated concept design report,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,reports/pdf/R-001_Integrated_concept_design_report.pdf,reports/docx/R-001_Integrated_concept_design_report.docx
R-101,Architectural concept report,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,reports/pdf/R-101_Architectural_concept_report.pdf,reports/docx/R-101_Architectural_concept_report.docx
R-201,Structural and foundation concept report,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,reports/pdf/R-201_Structural_and_foundation_concept_report.pdf,reports/docx/R-201_Structural_and_foundation_concept_report.docx
R-301,"Bbl, fire safety and ventilation concept report",CONCEPT - NOT FOR SUBMISSION OR EXECUTION,reports/pdf/R-301_Bbl__fire_safety_and_ventilation_concept_report.pdf,reports/docx/R-301_Bbl__fire_safety_and_ventilation_concept_report.docx
R-401,Parking concept report,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,reports/pdf/R-401_Parking_concept_report.pdf,reports/docx/R-401_Parking_concept_report.docx
R-501,AERIUS activity data concept report,CONCEPT - NOT FOR SUBMISSION OR EXECUTION,reports/pdf/R-501_AERIUS_activity_data_concept_report.pdf,reports/docx/R-501_AERIUS_activity_data_concept_report.docx
