combination_id,x_m,shear_kn,moment_knm
SLS_CHARACTERISTIC,1.0,38.625,46.5
SLS_CHARACTERISTIC,1.05,37.8375,48.411563
SLS_CHARACTERISTIC,1.1,37.05,50.28375
SLS_CHARACTERISTIC,1.15,36.2625,52.116562
SLS_CHARACTERISTIC,1.2,35.475,53.91
SLS_CHARACTERISTIC,1.25,34.6875,55.664062
SLS_CHARACTERISTIC,1.3,33.9,57.37875
SLS_CHARACTERISTIC,1.35,33.1125,59.054063
SLS_CHARACTERISTIC,1.4,32.325,60.69
SLS_CHARACTERISTIC,1.45,31.5375,62.286563
SLS_CHARACTERISTIC,1.5,30.75,63.84375
SLS_CHARACTERISTIC,1.55,29.9625,65.361562
SLS_CHARACTERISTIC,1.6,29.175,66.84
SLS_CHARACTERISTIC,1.65,28.3875,68.279063
SLS_CHARACTERISTIC,1.7,27.6,69.67875
SLS_CHARACTERISTIC,1.75,26.8125,71.039062
SLS_CHARACTERISTIC,1.8,26.025,72.36
SLS_CHARACTERISTIC,1.85,25.2375,73.641562
SLS_CHARACTERISTIC,1.9,24.45,74.88375
SLS_CHARACTERISTIC,1.95,23.6625,76.086562
SLS_CHARACTERISTIC,1.999999,22.875016,77.249977
SLS_CHARACTERISTIC,2.0,-2.125,77.25
SLS_CHARACTERISTIC,2.000001,-2.125016,77.249998
SLS_CHARACTERISTIC,2.05,-2.9125,77.124062
SLS_CHARACTERISTIC,2.1,-3.7,76.95875
SLS_CHARACTERISTIC,2.15,-4.4875,76.754063
SLS_CHARACTERISTIC,2.2,-5.275,76.51
SLS_CHARACTERISTIC,2.25,-6.0625,76.226562
SLS_CHARACTERISTIC,2.3,-6.85,75.90375
SLS_CHARACTERISTIC,2.35,-7.6375,75.541562
SLS_CHARACTERISTIC,2.4,-8.425,75.14
SLS_CHARACTERISTIC,2.45,-9.2125,74.699062
SLS_CHARACTERISTIC,2.5,-10.0,74.21875
SLS_CHARACTERISTIC,2.55,-10.7875,73.699062
SLS_CHARACTERISTIC,2.6,-11.575,73.14
SLS_CHARACTERISTIC,2.65,-12.3625,72.541562
SLS_CHARACTERISTIC,2.7,-13.15,71.90375
SLS_CHARACTERISTIC,2.75,-13.9375,71.226562
SLS_CHARACTERISTIC,2.8,-14.725,70.51
SLS_CHARACTERISTIC,2.85,-15.5125,69.754063
SLS_CHARACTERISTIC,2.9,-16.3,68.95875
SLS_CHARACTERISTIC,2.95,-17.0875,68.124062
SLS_CHARACTERISTIC,3.0,-17.875,67.25
SLS_CHARACTERISTIC,3.05,-18.6625,66.336563
SLS_CHARACTERISTIC,3.1,-19.45,65.38375
SLS_CHARACTERISTIC,3.15,-20.2375,64.391563
SLS_CHARACTERISTIC,3.2,-21.025,63.36
SLS_CHARACTERISTIC,3.25,-21.8125,62.289062
SLS_CHARACTERISTIC,3.3,-22.6,61.17875
SLS_CHARACTERISTIC,3.35,-23.3875,60.029062
SLS_CHARACTERISTIC,3.4,-24.175,58.84
